HtmlTag    | FlowDocumentTag                    | TagName              | ExtraModify
a          | System.Windows.Documents.Hyperlink | Hyperlink            | Hyperlink
abbr       | System.Windows.Documents.Span      | TagAbbr              | Acronym
acronym    | System.Windows.Documents.Span      | TagAbbr              | Acronym
address    | System.Windows.Documents.Section   | TagAddress           |
article    | System.Windows.Documents.Section   | TagArticle           |
aside      | System.Windows.Documents.Section   | TagAside             |
b          | System.Windows.Documents.Bold      | TagBoldSpan          |
bdi        | System.Windows.Documents.Span      | TagBdi               |
blockquote | System.Windows.Documents.Section   | TagBlockquote        |
br         | System.Windows.Documents.LineBreak |                      |
center     | System.Windows.Documents.Section   | TagCenter            | Center
cite       | System.Windows.Documents.Span      | TagCite              |
del        | System.Windows.Documents.Span      | TagStrikethroughSpan | Strikethrough
div        | #blocks                            |                      |
em         | System.Windows.Documents.Italic    | TagItalicSpan        |
footer     | System.Windows.Documents.Section   | TagFooter            |
h1         | #blocks                            | TagHeading1          |
h2         | #blocks                            | TagHeading2          |
h3         | #blocks                            | TagHeading3          |
h4         | #blocks                            | TagHeading4          |
h5         | #blocks                            | TagHeading5          |
h6         | #blocks                            | TagHeading6          |
i          | System.Windows.Documents.Italic    | TagItalicSpan        |
ins        | System.Windows.Documents.Underline | TagUnderlineSpan     |
mark       | System.Windows.Documents.Span      | TagMark              |
noframes   | #blocks                            |                      |
noscript   | #blocks                            |                      |
p          | #blocks                            |                      |
s          | System.Windows.Documents.Span      | TagStrikethroughSpan | Strikethrough
strike     | System.Windows.Documents.Span      | TagStrikethroughSpan | Strikethrough
strong     | System.Windows.Documents.Bold      | TagBoldSpan          |
sub        | System.Windows.Documents.Run       | TagSubscript         | Subscript
sup        | System.Windows.Documents.Run       | TagSuperscript       | Superscript
u          | System.Windows.Documents.Underline | TagUnderlineSpan     |